Title,Production,Certificate,Genre(s),Rating
Atlanta,(2016– ),,"Comedy, Drama, Music",8.6
Wayward Pines,(2015–2016),,"Drama, Mystery, Sci-Fi",7.4
Manhunt,(II) (2017– ),18,"Biography, Crime, Drama",8.1
Eastbound & Down,(2009–2013),,"Comedy, Drama, Sport",8.2
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,(2006–2012),16,"Animation, Action, Drama",8.6
Will & Grace,(1998–2020),,"Comedy, Romance",7.2
Mirzapur,(2018– ),18+,"Action, Crime, Drama",8.4
Shin seiki evangerion,(1995–1996),U,"Animation, Action, Drama",8.5
ER,(1994–2009),,"Drama, Romance",7.7
Spaced,(1999–2001),,"Action, Comedy",8.6
M*A*S*H,(1972–1983),,"Comedy, Drama, War",8.4
MythBusters,(2003– ),,"Documentary, Mystery, Reality-TV",8.3
Constantine,(2014–2015),16,"Drama, Fantasy, Horror",7.5
Blue Mountain State,(2010–2011),,"Comedy, Sport",8.3
Nikita,(2010–2013),18,"Action, Crime, Drama",7.7
NCIS: Los Angeles,(2009– ),,"Action, Crime, Drama",6.7
Blackadder Goes Forth,(1989),,"Comedy, War",8.8
Élite,(2018– ),18+,"Crime, Drama, Thriller",7.6
The Borgias,(2011–2013),,"Crime, Drama, History",7.9
Eureka,(2006–2012),,"Adventure, Comedy, Drama",7.9
Cheers,(1982–1993),,"Comedy, Drama",7.8
Dragon Ball: Doragon bôru,(1986–1989),U,"Animation, Action, Adventure",8.5
Hell on Wheels,(2011–2016),,"Drama, Western",8.3
Almost Human,(2013–2014),,"Action, Crime, Drama",8.0
SGU Stargate Universe,(2009–2011),,"Drama, Sci-Fi",7.6
Disenchantment,(2018– ),18+,"Animation, Action, Adventure",7.2
3rd Rock from the Sun,(1996–2001),,"Comedy, Family, Sci-Fi",7.7
Warehouse 13,(2009–2014),,"Drama, Mystery, Sci-Fi",7.6
Raised by Wolves,(2020– ),,"Drama, Fantasy, Sci-Fi",7.6
Scorpion,(2014–2018),13,"Action, Crime, Drama",7.1
Bosch,(2014– ),18,"Crime, Drama",8.4
Succession,(2018– ),15+,Drama,8.6
Enterprise,(2001–2005),,"Action, Adventure, Drama",7.5
Dollhouse,(2009–2010),,"Drama, Mystery, Sci-Fi",7.7
Only Fools and Horses....,(1981–2003),,Comedy,8.9
Carnival Row,(2019– ),18+,"Crime, Drama, Fantasy",7.9
Hart of Dixie,(2011–2015),,"Comedy, Drama, Romance",7.7
Workaholics,(2011–2017),,Comedy,8.1
Samurai Jack,(2001–2017),,"Animation, Action, Adventure",8.5
Travelers,(2016–2018),18,"Drama, Mystery, Sci-Fi",8.1
Barry,(2018– ),15+,"Action, Comedy, Crime",8.3
King of the Hill,(1997–2010),,"Animation, Comedy, Drama",7.3
Veep,(2012–2019),12+,Comedy,8.3
Space Force,(2020– ),16,Comedy,6.8
Alias,(2001–2006),,"Action, Drama, Mystery",7.6
The Alienist,(2018–2020),18,"Crime, Drama, Mystery",7.7
The Secret Circle,(2011–2012),,"Drama, Fantasy, Horror",7.3
Lupin,(2021– ),16,"Action, Crime, Drama",7.6
The Middle,(2009–2018),,Comedy,7.5
The Daily Show,(1996– ),,"Comedy, News, Talk-Show",8.3
Steins;Gate,(2011–2015),16,"Animation, Comedy, Drama",8.8
Emily in Paris,(2020– ),16,"Comedy, Drama, Romance",7.1
Bleach: Burîchi,(2004–2012),16,"Animation, Action, Adventure",8.1
Bloodline,(2015–2017),18,"Drama, Thriller",8.0
The Magicians,(2015–2020),16,"Drama, Fantasy, Mystery",7.6
The League,(I) (2009–2015),,"Comedy, Sport",8.2
CSI: NY,(2004–2013),,"Action, Crime, Drama",6.9
The Knick,(2014–2015),18,"Drama, History",8.5
Star Trek: Picard,(2020– ),18,"Action, Adventure, Drama",7.5
Dexter's Laboratory,(1996–2003),,"Animation, Adventure, Comedy",7.9
Reign,(2013–2017),16,"Drama, Fantasy",7.5
Blackadder II,(1986),,Comedy,8.6
Saturday Night Live,(1975– ),,"Comedy, Music",8.1
Dirk Gently's Holistic Detective Agency,(2016–2017),16,"Action, Adventure, Comedy",8.3
Coupling,(2000–2004),,"Comedy, Romance",8.5
Ghost Whisperer,(2005–2010),,"Drama, Fantasy",6.4
Leverage,(2008–2012),,"Crime, Mystery, Thriller",7.9
Awkward.,(2011–2016),,"Comedy, Drama, Romance",7.5
Boston Legal,(2004–2008),15+,"Comedy, Crime, Drama",8.4
Carnivàle,(2003–2005),18,"Drama, Fantasy, Mystery",8.4
The 4400,(2004–2007),,"Drama, Mystery, Sci-Fi",7.3
90210,(2008–2013),,"Comedy, Drama, Romance",6.1
See,(2019– ),16+,"Action, Drama, Sci-Fi",7.6
Xena: Warrior Princess,(1995–2001),,"Action, Adventure, Drama",6.7
Touch,(2012–2013),,"Drama, Mystery, Sci-Fi",7.3
Locke & Key,(2020– ),18,"Drama, Fantasy, Horror",7.4
Utopia,(I) (2013–2014),,"Drama, Mystery, Sci-Fi",8.4
Into the Badlands,(2015–2019),16,"Action, Adventure, Drama",8.0
I Am Not Okay with This,(2020),18,"Comedy, Sci-Fi",7.6
