Title,Production,Certificate,Genre(s),Rating
Touched by an Angel,(1994–2003),,"Drama, Family, Fantasy",6.0
The Bionic Woman,(1976–1978),,"Action, Adventure, Drama",6.7
Seaquest DSV,(1993–1996),,"Action, Adventure, Family",6.7
Tate no Yuusha no Nariagari,(2018– ),,"Animation, Action, Adventure",8.1
Godfather of Harlem,(2019– ),15+,"Crime, Drama",8.0
Dublin Murders,(2019– ),,"Crime, Drama, Mystery",7.1
Run,(I) (2020),,"Comedy, Romance, Thriller",6.2
The Comeback,(2005–2014),,Comedy,8.0
Agatha Christie's Marple,(2004–2013),12+,"Crime, Drama, Mystery",7.8
Trophy Wife,(2013–2014),,Comedy,6.9
Tash ma Tash,(1992–2011),,"Comedy, Drama",8.8
In the Dark,(2019– ),13,"Comedy, Crime, Drama",7.5
Gullak,(2019– ),12+,"Comedy, Drama, Family",9.1
Adam Ruins Everything,(2015– ),,"Animation, Comedy, History",8.0
The Late Late Show with James Corden,(2015– ),,"Comedy, Talk-Show",6.1
Kono subarashii sekai ni shukufuku o!,(2016–2017),16,"Animation, Adventure, Comedy",7.8
Beauty and the Beast,(1987–1990),,"Crime, Fantasy, Drama",7.0
Dickinson,(2019– ),A,"Biography, Comedy, Drama",7.3
Saving Hope,(2012–2017),,"Drama, Fantasy",7.5
Due South,(1994–1999),,"Adventure, Comedy, Crime",8.0
Beforeigners,(2019– ),,"Crime, Drama, Sci-Fi",7.8
Powers,(2015–2016),,"Action, Crime, Drama",6.7
Love/Hate,(2010–2014),,"Crime, Drama",8.5
The Thin Blue Line,(1995–1996),,"Comedy, Crime",7.5
Relic Hunter,(1999–2002),,"Fantasy, Mystery, Adventure",6.6
Crashing,(2017–2019),,"Comedy, Drama",7.5
Emergence,(2019–2020),,"Drama, Mystery, Sci-Fi",7.2
Survivorman,(2004– ),,"Documentary, Adventure",8.2
Fate/stay night: Unlimited Blade Works,(2014–2015),16,"Animation, Action, Fantasy",8.0
Yalan Dünya,(2012–2014),,Comedy,7.1
Space Ghost Coast to Coast,(1993–2011),,"Animation, Comedy, Sci-Fi",7.9
Jeopardy!,(1984– ),,Game-Show,8.2
Friends with Better Lives,(2014),,Comedy,7.0
Still Game,(2002–2019),,Comedy,8.8
Little Britain USA,(2008),,Comedy,7.6
Not Going Out,(2006– ),,Comedy,7.6
Days of Our Lives,(1965– ),,"Drama, Romance",5.1
All American,(2018– ),,"Drama, Sport",7.7
Itaewon Keullasseu,(2020),16,"Drama, Romance",8.2
The Hot Zone,(2019),,"Drama, Sci-Fi, Thriller",7.3
The Increasingly Poor Decisions of Todd Margaret,(2009–2016),,Comedy,7.6
The Letter for the King,(2020– ),13,"Action, Adventure, Family",5.9
Face Off,(2011–2018),,"Game-Show, Reality-TV",8.2
Popular,(1999–2001),,"Comedy, Drama, Romance",7.3
"Knowing Me, Knowing You with Alan Partridge",(1994–1995),,Comedy,8.2
Hunter x Hunter,(1999–2001),13,"Animation, Action, Adventure",8.6
Äkta människor,(2012–2014),,"Drama, Sci-Fi, Thriller",7.9
Borgia,(2011–2014),,"Biography, Drama, History",7.8
The Detour,(2016–2019),,"Adventure, Comedy",7.8
PEN15,(2019– ),,Comedy,8.0
Grandfathered,(2015–2016),,Comedy,6.9
Der Tatortreiniger,(2011–2018),,"Comedy, Crime",8.5
Corner Gas,(2004–2009),,Comedy,8.0
A.N.T. Farm,(2011–2014),,"Comedy, Drama, Family",5.0
Kimbiseoga wae geureolkka,(2018),16,"Comedy, Mystery, Romance",8.1
LazyTown,(2002–2014),,"Adventure, Comedy, Family",5.9
The Facts of Life,(1979–1988),,"Comedy, Family",6.8
The Moaning of Life,(2013–2015),,"Adventure, Comedy, Reality-TV",8.1
Ridiculousness,(2011– ),,"Comedy, Reality-TV",6.4
Dark Tourist,(2018),,Documentary,7.6
Sick Note,(2017–2018),18,"Comedy, Crime",6.8
Manhattan Love Story,(2014),,Comedy,7.0
Trust,(2018),,"Biography, Crime, Drama",7.6
Mahabharat,(2013–2014),12+,"Drama, War",8.8
Last Chance U,(2016–2020),18,"Documentary, Sport",8.5
Solsidan,(2010– ),,"Comedy, Drama",8.1
The Muppets.,(2015–2016),,"Comedy, Family",7.4
The Blacklist: Redemption,(2017),,"Action, Crime, Drama",7.1
Alta mar,(2019–2020),18,"Crime, Drama, Mystery",6.8
Sledge Hammer!,(1986–1988),,"Action, Comedy",8.2
Wacky Races,(1968–1970),,"Animation, Comedy, Family",7.5
Star Trek,(1973–1975),,"Animation, Action, Adventure",7.4
People of Earth,(2016–2017),,"Comedy, Mystery, Sci-Fi",7.7
Truth Be Told,(2019– ),A,"Crime, Drama, Thriller",7.1
Sleeper Cell,(2005–2006),,"Crime, Drama, Thriller",8.0
Queer as Folk,(1999–2000),,Drama,8.2
Special,(2019– ),18,"Comedy, Drama",7.6
Home Before Dark,(2020– ),UA,"Crime, Drama, Mystery",7.5
Common Law,(2012),,"Comedy, Crime",7.9
Gang Related,(2014),,"Action, Crime, Drama",7.6
Coach,(1989–1997),,"Comedy, Sport",6.9
Silent Witness,(1996– ),,"Crime, Drama, Mystery",7.8
Hilleo,(2014–2015),13,"Action, Comedy, Crime",8.5
Inspector George Gently,(2007–2017),,"Crime, Drama, Mystery",8.0
APB,(2016–2017),,"Crime, Drama",6.9
American Odyssey,(2015),,"Action, Drama, Thriller",7.3
High,(2020– ),18,"Crime, Drama, Thriller",8.2
A Little Late with Lilly Singh,(2019– ),,"Comedy, Talk-Show",1.6
RuPaul's Drag Race All Stars,(2012– ),,"Game-Show, Reality-TV",8.5
How the Universe Works,(2010– ),,Documentary,8.9
Good Times,(1974–1979),,Comedy,7.3
'Til Death,(2006–2010),,"Comedy, Romance",6.5
Full Frontal with Samantha Bee,(2016– ),,"Comedy, News, Talk-Show",5.7
Soap,(1977–1981),,"Comedy, Drama, Romance",8.2
The Woody Woodpecker Show,(1957– ),,"Animation, Comedy, Family",7.0
Overlord,(2015– ),18,"Animation, Action, Adventure",7.8
Green Lantern: The Animated Series,(2011–2013),,"Animation, Action, Adventure",8.0
Julie and the Phantoms,(2020– ),13,"Comedy, Family, Fantasy",8.4
Kyaputen Tsubasa,(1983–1995),,"Animation, Drama, Family",8.0
The Life & Times of Tim,(2008–2012),,"Animation, Comedy",8.1
Roman Empire,(2016– ),18,"Documentary, Biography, Drama",6.9
The Soup,(2004–2020),,Comedy,8.2
Pingu,(1980–2006),,"Animation, Short, Comedy",7.4
Harry's Law,(2011–2012),,"Comedy, Crime, Drama",7.3
Fatmagül'ün Suçu Ne?,(2010–2012),,"Drama, Romance",5.6
DCI Banks,(2010–2016),,"Crime, Drama, Mystery",7.6
Dejimon Adobenchâ,(1999–2000),,"Animation, Action, Adventure",7.9
Get Shorty,(2017– ),,"Comedy, Crime",8.2
Green Acres,(1965–1971),,"Comedy, Family",7.2
Sirens,(2014–2015),,"Comedy, Family, Romance",7.8
Beastars,(2019– ),UA,"Animation, Crime, Drama",7.8
House of Payne,(2006– ),,"Comedy, Drama, Family",3.5
Rush,(2014),,"Action, Drama",7.7
Top Gear USA,(2008– ),,Documentary,5.4
Resident Alien,(2020– ),,"Comedy, Drama, Mystery",8.3
The Enemy Within,(2019),,Drama,7.1
Famous in Love,(2017–2018),Not Rated,"Drama, Romance",6.9
Newhart,(1982–1990),,Comedy,7.7
The Waltons,(1972–1981),,"Drama, Family, Romance",7.6
Mr Inbetween,(2018– ),,"Crime, Drama",8.4
State of Affairs,(2014–2015),,"Drama, Thriller",6.4
The X Factor,(2011–2013),,"Music, Reality-TV",5.1
Le chalet,(2017–2018),18,"Drama, Mystery, Thriller",7.0
Dance Moms,(2011– ),,Reality-TV,4.7
N.H.K ni yôkoso!,(2006),,"Animation, Comedy, Drama",8.3
Hawaii Five-O,(1968–1980),,"Crime, Drama, Mystery",7.3
A Different World,(1987–1993),,Comedy,6.9
Jonas,(2009–2010),,"Comedy, Family, Music",4.7
Bose: Dead/Alive,(2017),18,"Biography, History, Mystery",8.8
Ikinci Bahar,(1998–2001),,"Comedy, Drama, Family",8.6
Shahrzad,(2015–2018),,"Crime, Drama, History",8.1
Ghosted,(I) (2017),,"Comedy, Crime, Horror",6.3
One Foot in the Grave,(1990–2001),,"Comedy, Drama",7.8
Judging Amy,(1999–2005),,Drama,7.0
As Told by Ginger,(2000–2009),,"Animation, Comedy, Drama",6.9
I Think You Should Leave with Tim Robinson,(2019– ),,Comedy,7.7
My Gym Partner's a Monkey,(2005–2008),,"Animation, Short, Adventure",5.9
10 Things I Hate About You,(1999–2010),,Comedy,7.3
Dad's Army,(1968–1977),,"Comedy, War",8.1
How Not to Live Your Life,(2007–2011),,Comedy,8.3
A to Z,(2014–2015),,"Comedy, Romance",6.7
Check It Out! with Dr. Steve Brule,(2010–2017),,"Comedy, Talk-Show",8.5
Love & Anarchy,(2020– ),18,"Comedy, Drama, Romance",7.4
WWF SmackDown!,(1999– ),,"Action, Sport",7.3
Æon Flux,(1991–1995),,"Animation, Adventure, Sci-Fi",7.8
Blood Drive,(2017),,"Action, Adventure, Comedy",7.3
Tales from the Darkside,(1983–1988),,"Comedy, Drama, Fantasy",7.5
The Young and the Restless,(1973– ),,"Drama, Romance",5.1
Cracker,(1993–1996),,"Crime, Drama, Mystery",8.4
The Hard Times of RJ Berger,(2010– ),,Comedy,7.4
Duckman: Private Dick/Family Man,(1994–1997),,"Animation, Adventure, Comedy",7.7
Chasing Life,(2014–2015),,"Drama, Family, Romance",7.8
Low Winter Sun,(2013),,"Crime, Drama",7.0
Jujutsu Kaisen,(2020– ),,"Animation, Action, Adventure",8.7
Gary Unmarried,(2008–2010),,Comedy,6.7
Sikeurit Gadeun,(2010–2011),13,"Comedy, Drama, Fantasy",8.2
The Outpost,(2018– ),,"Action, Adventure, Drama",6.1
Phoenix Nights,(2001–2002),,Comedy,8.5
Romanzo criminale - La serie,(2008–2010),,"Crime, Drama, Thriller",8.5
Mr. Iglesias,(2019– ),13,Comedy,7.1
"Welcome Back, Kotter",(1975–1979),,Comedy,7.0
Yuri!!! On Ice,(2016),,"Animation, Comedy, Drama",8.3
Upstairs Downstairs,(2010–2012),,Drama,7.4
Ramsay's Kitchen Nightmares,(2004–2014),,Reality-TV,7.6
Transformers Prime,(2010–2013),7,"Animation, Action, Adventure",7.9
Pooreun Badaui Junsul,(2016–2017),16,"Comedy, Fantasy, Romance",8.1
Home and Away,(1988– ),,"Drama, Romance",5.1
Top Chef,(2006– ),,"Game-Show, Reality-TV",7.6
Titus,(2000–2002),,"Comedy, Drama",7.6
Steins;Gate 0,(2018),,"Animation, Drama, Mystery",8.4
Pitch,(2016–2017),,"Drama, Sport",7.4
Dig,(2015),,"Drama, Mystery, Thriller",6.8
El desorden que dejas,(2020– ),18,"Drama, Mystery, Thriller",6.8
Taskmaster,(2015– ),,Comedy,9.1
Lucky Man,(2016–2018),,"Action, Crime, Drama",7.2
Dora the Explorer,(2000–2019),,"Animation, Adventure, Comedy",4.1
Porridge,(1974–1977),,"Comedy, Crime",8.2
Miraculous: Tales of Ladybug & Cat Noir,(2015– ),7,"Animation, Action, Adventure",7.8
The Twilight Zone,(2002–2003),,"Drama, Fantasy, Horror",7.3
Boston Public,(2000–2004),,"Comedy, Drama",7.3
Luck,(2011–2012),,"Drama, Sport",7.5
Mixology,(2013–2014),,"Comedy, Romance",7.3
SideHero,(2018– ),,Comedy,8.6
Moone Boy,(2012–2015),,Comedy,8.1
Great News,(2017–2018),,Comedy,7.0
Skins,(2011),,"Comedy, Drama",3.9
Dilbert,(1999–2000),,"Animation, Comedy",7.3
Bishôjo senshi Sêrâ Mûn,(1992–1997),,"Animation, Action, Adventure",7.7
Biohackers,(2020– ),16,"Drama, Sci-Fi, Thriller",6.7
All or Nothing: Manchester City,(2018– ),16,"Documentary, Reality-TV, Sport",8.2
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,(2015– ),,"Animation, Action, Adventure",7.4
Cops,(1989–2020),,"Action, Crime, Reality-TV",7.0
Strangers with Candy,(1999–2000),,Comedy,8.0
Bimilui Soop,(2017– ),16,"Crime, Drama, Mystery",8.6
Kuroko no basuke,(2012–2015),13,"Animation, Comedy, Sport",8.3
Last Tango in Halifax,(2012–2020),,"Comedy, Drama, Romance",8.3
We Are Who We Are,(2020),,Drama,7.1
La trêve,(2016– ),18,"Crime, Drama, Thriller",7.7
Trial & Error,(2017–2018),,"Comedy, Crime, Mystery",8.0
Dog with a Blog,(2012–2015),,"Comedy, Drama, Family",4.8
Documentary Now!,(2015– ),,Comedy,8.1
Enlisted,(2014),,Comedy,7.0
Charles in Charge,(1984–1990),,"Comedy, Family",6.1
Mutlu Ol Yeter,(2015),,"Comedy, Drama, Romance",8.4
The Sarah Jane Adventures,(2007–2020),,"Family, Sci-Fi",7.4
The Millers,(2013–2015),,Comedy,6.0
Kung Fu Panda: Legends of Awesomeness,(2011–2016),,"Animation, Action, Adventure",7.1
Forever,(I) (2018),,"Comedy, Drama, Fantasy",7.2
The Son,(2017–2019),,"Drama, Western",7.5
The Odd Couple,(1970–1975),,Comedy,7.8
Whose Line Is It Anyway?,(1988–1998),,"Comedy, Game-Show",8.2
Quincy M.E.,(1976–1983),,"Crime, Drama, Mystery",7.3
Threshold,(2005–2006),,"Action, Drama, Sci-Fi",7.3
Megas XLR,(2004–2005),,"Animation, Short, Action",8.3
8 Out of 10 Cats,(2005– ),,"Comedy, Game-Show, News",7.7
Shabhaye Barareh,(2005–2006),,Comedy,8.3
Sonic Boom,(2014–2017),,"Animation, Short, Action",7.0
Suskunlar,(2012),,"Action, Crime, Drama",8.4
The Universe,(2007–2015),,"Documentary, History",8.7
Kung Fu,(1972–1975),,"Adventure, Drama, Western",7.7
Bakuten shoot beyblade,(2001–2005),7,"Animation, Action, Family",6.9
Ajin,(2016– ),16,"Animation, Action, Adventure",7.6
The Forsyte Saga,(2002–2003),,"Drama, Romance",8.1
The Simple Life,(2003–2007),,"Comedy, Reality-TV",3.9
Fruits Basket,(2001),,"Animation, Comedy, Drama",7.9
Claws,(2017– ),,"Comedy, Crime, Drama",7.4
Mad Dogs,(2011–2013),,"Comedy, Crime, Drama",7.6
The Innocents,(2018),18,"Drama, Horror, Mystery",6.3
Ask Laftan Anlamaz,(2016–2017),,"Comedy, Romance",7.5
Never Mind the Buzzcocks,(1996–2015),,"Comedy, Game-Show, Music",7.8
Engrenages,(2005–2020),,"Crime, Drama, Mystery",8.5
Welcome to Sweden,(2014–2015),,Comedy,6.6
Helstrom,(2020),,"Action, Adventure, Drama",6.8
Zero Hour,(2013),,"Drama, Fantasy, Thriller",6.4
New Tricks,(2003–2015),,"Comedy, Crime, Drama",7.8
Perry Mason,(1957–1966),,"Crime, Drama, Mystery",8.2
Good Girls Revolt,(2015–2016),,Drama,8.2
Uncle Grandpa,(2010–2017),UA,"Animation, Comedy, Family",4.3
Wallander,(2005–2013),,"Crime, Drama, Mystery",7.6
The Firm,(2012),,"Action, Crime, Drama",7.1
Men in Trees,(2006–2008),,"Comedy, Drama, Romance",7.2
Roadies,(2016),,"Comedy, Drama, Music",7.4
Karadayi,(2012–2015),,"Action, Crime, Drama",7.5
Erkenci Kus,(2018–2019),Not Rated,"Comedy, Romance",7.3
Amazing Stories,(1985–1987),,"Adventure, Comedy, Drama",7.5
Velvet,(2013–2016),,"Adventure, Drama, Romance",8.1
The Red Road,(2014–2015),,Drama,7.4
Kaichou wa meido-sama!,(2010– ),,"Animation, Comedy, Romance",8.0
Hajime no ippo,(2000–2002),,"Animation, Action, Comedy",8.8
Toy Boy,(2019),18,"Crime, Drama, Thriller",6.4
Death Valley,(2011),,"Comedy, Horror",7.8
"Dr. Katz, Professional Therapist",(1995–2002),,"Animation, Comedy",7.5
6Teen,(2004–2010),,"Animation, Comedy, Drama",7.2
Ellen,(1994–1998),,"Comedy, Romance",6.0
Room 104,(2017–2020),15+,"Comedy, Drama, Fantasy",6.1
Kommissar Rex,(1994–2004),,"Action, Crime, Mystery",7.2
The Streets of San Francisco,(1972–1977),,"Action, Crime, Drama",7.3
Mrs. Fletcher,(2019),18+,"Comedy, Drama",7.1
Shaman Kingu,(2001–2005),,"Animation, Action, Adventure",8.1
"Eerie, Indiana",(1991–1992),,"Adventure, Comedy, Drama",8.2
Gunsmoke,(1955–1975),,Western,7.9
The Cheat,(2017– ),,"Action, Drama, Sci-Fi",8.8
Comic Book Men,(2012–2018),,"Comedy, Reality-TV",7.7
