Name,Position,Club,Market Value,Age,Primary Nationality,Secondary Nationality,Matches Played,Goals,Assists,Yellow Cards,Red Cards,Substituted In,Substituted Out,Second Yellow Cards,Own Goals
Karim Konaté,Centre-Forward,Red Bull Salzburg,25000000,20,Cote d'Ivoire,-,9,5,1,0,0,2,2,0,0
André,Defensive Midfield,Wolverhampton Wanderers,25000000,23,Brazil,-,6,0,0,2,0,1,3,0,0
Igor Thiago,Centre-Forward,Brentford FC,25000000,23,Brazil,Bulgaria,0,0,0,0,0,0,0,0,0
Tyrick Mitchell,Left-Back,Crystal Palace,25000000,25,England,Jamaica,9,0,1,0,0,0,2,0,0
Lesley Ugochukwu,Defensive Midfield,Southampton FC,25000000,20,France,Nigeria,5,0,0,0,0,1,4,0,0
Brajan Gruda,Right Winger,Brighton & Hove Albion,25000000,20,Germany,Albania,1,0,0,0,0,1,0,0,0
Gabri Veiga,Central Midfield,Al-Ahli SFC,25000000,22,Spain,-,11,2,1,2,0,4,3,0,0
Matías Soulé,Right Winger,AS Roma,25000000,21,Argentina,Italy,8,0,0,1,0,2,6,0,0
Marcos Leonardo,Centre-Forward,Al-Hilal SFC,25000000,21,Brazil,-,10,5,0,1,0,3,5,0,0
Oscar Bobb,Right Winger,Manchester City,25000000,21,Norway,The Gambia,1,0,1,0,0,0,1,0,0
Wilfried Singo,Centre-Back,AS Monaco,25000000,23,Cote d'Ivoire,-,8,0,1,0,0,2,0,0,0
Yan Couto,Right-Back,Borussia Dortmund,25000000,22,Brazil,Portugal,7,0,1,2,0,4,2,0,0
Aaron Hickey,Right-Back,Brentford FC,25000000,22,Scotland,-,0,0,0,0,0,0,0,0,0
Anthony Elanga,Right Winger,Nottingham Forest,25000000,22,Sweden,Cameroon,10,0,1,1,0,5,4,0,0
Radu Drăgușin,Centre-Back,Tottenham Hotspur,25000000,22,Romania,-,8,1,0,1,1,1,1,0,0
Kang-in Lee,Attacking Midfield,Paris Saint-Germain,25000000,23,"Korea, South",-,10,4,0,0,0,5,2,0,0
Anatoliy Trubin,Goalkeeper,SL Benfica,25000000,23,Ukraine,-,13,0,0,0,0,0,0,0,0
Miguel Gutiérrez,Left-Back,Girona FC,25000000,23,Spain,-,11,0,1,0,0,0,0,0,0
Federico Gatti,Centre-Back,Juventus FC,25000000,26,Italy,-,9,0,0,1,0,1,3,0,0
Folarin Balogun,Centre-Forward,AS Monaco,25000000,23,United States,England,10,3,2,2,0,3,4,0,0
Edon Zhegrova,Right Winger,LOSC Lille,25000000,25,Kosovo,Germany,15,7,1,2,0,2,6,0,0
Wesley Fofana,Centre-Back,Chelsea FC,25000000,23,France,Cote d'Ivoire,7,0,0,5,0,0,1,0,0
Facundo Medina,Centre-Back,RC Lens,25000000,25,Argentina,-,9,0,0,4,1,0,1,0,0
Nathan Collins,Centre-Back,Brentford FC,25000000,23,Ireland,-,13,1,0,1,0,1,0,0,0
Malik Tillman,Attacking Midfield,PSV Eindhoven,25000000,22,United States,Germany,16,4,2,2,0,3,7,0,0
Mattéo Guendouzi,Central Midfield,SS Lazio,25000000,25,France,Morocco,12,2,1,2,0,1,4,0,0
Lucas Chevalier,Goalkeeper,LOSC Lille,25000000,22,France,-,14,0,0,0,0,0,0,0,0
Rodrigo Riquelme,Left Winger,Atlético de Madrid,25000000,24,Spain,-,9,0,0,0,0,5,3,0,0
Yann Bisseck,Centre-Back,Inter Milan,25000000,23,Germany,Cameroon,5,0,0,1,0,1,2,0,0
Jørgen Strand Larsen,Centre-Forward,Wolverhampton Wanderers,25000000,24,Norway,-,12,3,2,0,0,4,6,0,0
Amine Gouiri,Centre-Forward,Stade Rennais FC,25000000,24,Algeria,France,8,1,1,0,0,3,2,0,0
Andriy Lunin,Goalkeeper,Real Madrid,25000000,25,Ukraine,-,2,0,0,0,0,0,0,0,0
Yangel Herrera,Central Midfield,Girona FC,25000000,26,Venezuela,Spain,10,1,1,4,0,1,5,0,1
Evan Ndicka,Centre-Back,AS Roma,25000000,25,Cote d'Ivoire,France,9,0,0,0,0,0,0,0,0
Antonee Robinson,Left-Back,Fulham FC,25000000,27,United States,England,10,0,2,1,0,0,2,0,0
